CORE,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,,,,,,
SINT,SBR,1,IMM,,,,1,1,,,,,,,,,,
SNOP,SBR,1,IMM,,,,1,1,,,,,,,,,,
SEP,SBR,1,IMM,,,,1,1,,,,,,,,,,
SWAIT,SBR,1,,,,,1,1,,,,,,,,,,
SBR,SBR,7,R/IMM,,,,1,1,,,,,,,,,,
SBRVZ,SBR,7,R/IMM,,,,1,1,,,,,,,,,,
SBRVNZ,SBR,7,R/IMM,,,,1,1,,,,,,,,,,
SIRET,SBR,7,,,,,1,1,,,,,,,,,,
SERET,SBR,7,,,,,1,1,,,,,,,,,,
SMFENCE,SBR,7,,,,,1,1,不可并行,,,,,,,,,
SLDH,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,,,,,,
SLDHU,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,,,,,,
SLDW,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,,,,,,
SLDDW,SLDST,7,AR+OR/IMM,,,R:2,1,1,,,,,,,,,,
SLDQW,SLDST,7,AR+OR/IMM,,,R:4,1,1,,,,,,,,,,
SLDB,SLDST,7,AR+OR/IMM,,,R,1,1,不支持循环寻址,,,,,,,,,
SLDBU,SLDST,7,AR+OR/IMM,,,R,1,1,不支持循环寻址,,,,,,,,,
SSTH,SLDST,1,R,,,AR+OR/IMM,1,1,,,,,,,,,,
SSTW,SLDST,1,R,,,AR+OR/IMM,1,1,,,,,,,,,,
SSTDW,SLDST,1,R:2,,,AR+OR/IMM,1,1,,,,,,,,,,
SSTQW,SLDST,1,R:4,,,AR+OR/IMM,1,1,,,,,,,,,,
SSTB,SLDST,1,R,,,AR+OR/IMM,1,1,不支持循环寻址,,,,,,,,,
SADD.LS,SLDST,2,AR/OR,R,,AR/OR,2,2,,,,,,,,,,
SSUB.LS,SLDST,2,AR/OR,R,,AR/OR,2,2,,,,,,,,,,
SMCMPEQ,SLDST,2,AR/OR,AR/OR,,R,2,2,,,,,,,,,,
SFMULH,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,,,,,,
SFMULS32,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,,,,,,
SFMULAH,SMAC1/SMAC2,6,R,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SFMULAS32,SMAC1/SMAC2,6,R,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SFMULBH,SMAC1/SMAC2,6,R,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SFMULBS32,SMAC1/SMAC2,6,R,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SFDOT16,SMAC1/SMAC2,6,R,R,,R,1,1,,,,,,,,,,
SFCMUL16,SMAC1/SMAC2,6,R,R,,R,1,1,,,,,,,,,,
SMULISU16,SMAC1/SMAC2,3,R/IMM,R,,R,1,1,,,,,,,,,,
SMULIS16,SMAC1/SMAC2,3,R/IMM,R,,R,1,1,,,,,,,,,,
SMULIU16,SMAC1/SMAC2,3,R/IMM,R,,R,1,1,,,,,,,,,,
SMULISU,SMAC1/SMAC2,3,R/IMM,R,,R,1,1,,,,,,,,,,
SMULIS,SMAC1/SMAC2,3,R/IMM,R,,R,1,1,,,,,,,,,,
SMULIU,SMAC1/SMAC2,3,R/IMM,R,,R,1,1,,,,,,,,,,
SMULSU16,SMAC1/SMAC2,4,R/IMM,R,,R:2,1,2,,,,,,,,,,
SMULS16,SMAC1/SMAC2,4,R/IMM,R,,R:2,1,2,,,,,,,,,,
SMULU16,SMAC1/SMAC2,4,R/IMM,R,,R:2,1,2,,,,,,,,,,
SMULSU,SMAC1/SMAC2,4,R/IMM,R,,R:2,1,2,,,,,,,,,,
SMULS,SMAC1/SMAC2,4,R/IMM,R,,R:2,1,2,,,,,,,,,,
SMULU,SMAC1/SMAC2,4,R/IMM,R,,R:2,1,2,,,,,,,,,,
SMULAUS16T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SMULASU16T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SMULAU16T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SMULAS16T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SMULBUS16T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SMULBSU16T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SMULBS16T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SMULBU16T,SMAC1/SMAC2,3,R/IMM,R,R,R,1,1,输入3与输出寄存器必须一致,,,,,,,,,
SMVAGA36,SMAC1/SMAC2,2,R:2,,,AR/OR,2,1,,,,,,,,,,
SMVAGA32,SMAC1/SMAC2,2,R,,,AR/OR,1,1,,,,,,,,,,
SMVAAGL,SMAC1/SMAC2,2,AR/OR,,,R,1,1,,,,,,,,,,
SMVAAGH,SMAC1/SMAC2,2,AR/OR,,,R,1,1,,,,,,,,,,
SMVAAA,SMAC1/SMAC2,2,AR/OR,,,AR/OR,1,1,,,,,,,,,,
