CORE,,,,,,,,,,,,,
64,,,,,,,,,,,,,
,,,,,,,,,,,,,
INSTRUCTION,,,,,,,,,,,,,
指令,功能单元,节拍,输入1,输入2,输入3,输出,寄存器和功能单元读所需拍数,寄存器和功能单元写所需拍数,备注,,,,
SINT,SBR,1,IMM,,,,1,1,,,,,
SNOP,SBR,1,IMM,,,,1,1,,,,,
SEP,SBR,1,IMM,,,,1,1,,,,,
SWAIT,SBR,1,,,,,1,1,,,,,
SBR,SBR,7,R/IMM,,,,1,1,,,,,
SBRVZ,SBR,7,R/IMM,,,,1,1,,,,,
SBRVNZ,SBR,7,R/IMM,,,,1,1,,,,,
SIRET,SBR,7,IMM,,,,1,1,,,,,
SERET,SBR,7,,,,,1,1,,,,,
SMFENCE,SBR,1,,,,,1,1,不可并行,,,,
SBARRIER,SBR,1,IMM,,,,1,1,不可并行,,,,
SLDH,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,
SLDHU,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,
SLDW,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,
SLDDW,SLDST,7,AR+OR/IMM,,,R:2,1,1,,,,,
SLDB,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,
SLDBU,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,
SLDDB,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,
SLDDBU,SLDST,7,AR+OR/IMM,,,R,1,1,,,,,
SSTH,SLDST,1,R,,,AR+OR/IMM,1,1,,,,,
SSTW,SLDST,1,R,,,AR+OR/IMM,1,1,,,,,
SSTDW,SLDST,1,R:2,,,AR+OR/IMM,1,1,,,,,
SSTB,SLDST,1,R,,,AR+OR/IMM,1,1,,,,,
SSTDB,SLDST,1,R,,,AR+OR/IMM,1,1,,,,,
SFMULD,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,
SFMULS32,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,
SFMULAD,SMAC1/SMAC2,6,R,R,R,R,1,1,,,,,
SFMULAS32,SMAC1/SMAC2,6,R,R,R,R,1,1,,,,,
SFMULBD,SMAC1/SMAC2,6,R,R,R,R,1,1,,,,,
SFMULBS32,SMAC1/SMAC2,6,R,R,R,R,1,1,,,,,
SFDOT32,SMAC1/SMAC2,6,R,R,,R,1,1,,,,,
SFCREAL32,SMAC1/SMAC2,6,R,R,,R,1,1,,,,,
SFCIMAG32,SMAC1/SMAC2,6,R,R,,R,1,1,,,,,
SFADDH16,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,
SFSUBH16,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,
SFMULH16,SMAC1/SMAC2,4,R,R,,R,1,1,,,,,
SFMULAH16,SMAC1/SMAC2,6,R,R,R,R,1,1,,,,,
SFMULBH16,SMAC1/SMAC2,6,R,R,R,R,1,1,,,,,
SFCMPEH16,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFCMPGH16,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFCMPLH16,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFHINT16,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFHTRU16,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFINTH16,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFINTHU16,SMAC1/SMAC2,3,R,,,R,1,1,,,,,
SFSPHP16,SMAC1/SMAC2,3,R,R,,R,1,1,,,,,
SFHPSP16L,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFHPSP16H,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFMANH16,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFLOGH16,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFABSH16,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFMAX16,SMAC1/SMAC2,1,R,R,,R,1,1,,,,,
SFEXTS32L,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFEXTS32H,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFEXTH16LL,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFEXTH16LH,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFEXTH16HL,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SFEXTH16HH,SMAC1/SMAC2,1,R,,,R,1,1,,,,,
SADD32,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,
SADDU32,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,
SADD,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,
SADDU,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,
SADDA,SMAC1/SMAC2,-1,R/IMM,AR/OR,,AR/OR,1,2,,,,,
SADDA,SMAC1/SMAC2,2,R/IMM,/S_AR/S_OR/,,/S_AR/S_OR/,1,2,,,,,
SADDA,SMAC1/SMAC2,3,R/IMM,/V_AR/V_OR/,,/V_AR/V_OR/,1,2,,,,,
SSUB32,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,
SSUBU32,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,
SSUB,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,
SSUBU,SMAC1/SMAC2,1,R/IMM,R,,R,1,1,,,,,
SSUBA,SMAC1/SMAC2,-1,R/IMM,AR/OR,,AR/OR,1,2,,,,,
SSUBA,SMAC1/SMAC2,2,R/IMM,/S_AR/S_OR/,,/S_AR/S_OR/,1,2,,,,,
